,index,food_start,food_end,food_text,chemical_start,chemical_end,chemical_text,chemical_id,sentence,supported_by,contains_relation,name,ncbi_taxonomy_id,itis_id,wikipedia_id,food_group,food_subgroup,foodb_public_id
0,838,948,954,barley,965,972,PpABI3A,,"In barley aleurone, PpABI3A transactivates Em-GUS but to a lesser extent than VP1 and ABI3.",butter|foodb_non_scientific,0,barley,4513.0,40874.0,Barley,Cereals and cereal products,Cereals,FOOD00088
1,1027,15,21,barley,111,119,phenolic,,"Among cereals, barley ( Hordeum vulgare L.) is notable for its high content of bioactives such as β-glucan and phenolic compounds, but it is not used as widely in human nutrition as wheat.",butter|foodb_non_scientific,1,barley,4513.0,40874.0,Barley,Cereals and cereal products,Cereals,FOOD00088
2,138,425,431,barley,508,511,Na+,,"We were able to show that (at least in barley roots) antimonate does not precipitate at all with Na+, irrespective of the Na+ content of the tissue or the method of antimonate application.",butter|foodb_non_scientific,0,barley,4513.0,40874.0,Barley,Cereals and cereal products,Cereals,FOOD00088
3,6575,570,576,barley,647,656,bile acid,,"Viscous interactions were detected for apple, barley, citrus, lupin, pea, and potato derived ingredients, which slowed the bile acid release rate by up to 80%.",butter|foodb_non_scientific,0,barley,4513.0,40874.0,Barley,Cereals and cereal products,Cereals,FOOD00088
4,6809,232,238,barley,260,272,tocotrienols,,"Some cereals, especially oat, rye, and barley, are good sources of tocotrienols.",butter|foodb_non_scientific,1,barley,4513.0,40874.0,Barley,Cereals and cereal products,Cereals,FOOD00088
5,843,155,159,rice,65,78,carbohydrates,,Grain filling ability is mainly affected by the translocation of carbohydrates generated from temporarily stored stem starch in most field crops including rice (Oryza sativa L.).,butter|foodb_non_scientific,0,rice,4530.0,41976.0,Rice,Cereals and cereal products,Cereals,FOOD00125
6,968,997,1001,rice,885,894,melatonin,,"Importantly, remarkably high melatonin concentrations have been measured in popular beverages (coffee, tea, wine, and beer) and crops (corn, rice, wheat, barley, and oats).",butter|foodb_non_scientific,1,rice,4530.0,41976.0,Rice,Cereals and cereal products,Cereals,FOOD00125
7,3259,144,148,rice,260,262,Zn,,Rice is widely consumed in the developing countries of Asia and the low phytate in polished rice makes it ideal for Zn and Fe fortification.,butter|foodb_non_scientific,0,rice,4530.0,41976.0,Rice,Cereals and cereal products,Cereals,FOOD00125
8,4390,154,158,rice,0,13,Flubendiamide,,"Flubendiamide, which belongs to the new chemical class of phthalic acid diamides, is widely used against lepidopteron pests in a variety of vegetable and rice pests.",butter|foodb_non_scientific,0,rice,4530.0,41976.0,Rice,Cereals and cereal products,Cereals,FOOD00125
9,5527,495,499,rice,353,370,Retinyl palmitate,,"Retinyl palmitate has been used successfully for decades as a supplement as well as a way to fortify numerous foods, including vegetable oil, rice, monosodium glutamate, cereal flours and sugar.",butter|foodb_non_scientific,0,rice,4530.0,41976.0,Rice,Cereals and cereal products,Cereals,FOOD00125
10,5701,33,37,rice,12,19,arsenic,,Exposure to arsenic (As) through rice consumption potentially threatens millions of people worldwide.,butter|foodb_non_scientific,0,rice,4530.0,41976.0,Rice,Cereals and cereal products,Cereals,FOOD00125
11,5914,630,634,rice,659,674,hydroxyl-propyl,,"These polysaccharide-based films consist of different natural starches (potato, cassava, wheat, pea and rice) and synthetic polymers hydroxyl-propyl cellulose (HPC) and carboxyl methyl cellulose (CMC)).",butter|foodb_non_scientific,0,rice,4530.0,41976.0,Rice,Cereals and cereal products,Cereals,FOOD00125
12,5922,239,243,rice,231,235,F3'H,,One F3'H in rice was found to display novel chrysoeriol-specific 5'-hydroxylase activity.,butter|foodb_non_scientific,1,rice,4530.0,41976.0,Rice,Cereals and cereal products,Cereals,FOOD00125
13,5994,65,69,rice,15,22,mercury,,"High levels of mercury (Hg), especially methylmercury (MeHg), in rice is of concern due to its potential of entering food chain and the high toxicity to human.",butter|foodb_non_scientific,0,rice,4530.0,41976.0,Rice,Cereals and cereal products,Cereals,FOOD00125
14,6411,13,17,rice,130,142,gastric acid,,"Breakdown of rice during gastric digestion may be influenced by rice structure, presence of salivary α-amylase, and hydrolysis by gastric acid.",butter|foodb_non_scientific,0,rice,4530.0,41976.0,Rice,Cereals and cereal products,Cereals,FOOD00125
15,6506,467,471,rice,534,545,amino acids,,"In the diverse land plants Marchantia polymorpha (liverwort) and Oryza sativa (rice), the mitochondrial-encoded L2 ribosomal protein is about 500 amino acids long owing to a centrally located expansion containing the beta3-beta4 strand region.",butter|foodb_non_scientific,0,rice,4530.0,41976.0,Rice,Cereals and cereal products,Cereals,FOOD00125
16,6760,204,208,rice,0,15,Forchlorfenuron,,"Forchlorfenuron, N-(2-chloro-4-pyridinyl)-N'-phenylurea, is a plant growth regulator used to increase the size of kiwifruit, apples, table grapes, and peaches and to promote increased yields of potatoes, rice, and wheat.",butter|foodb_non_scientific,0,rice,4530.0,41976.0,Rice,Cereals and cereal products,Cereals,FOOD00125
17,6801,126,130,rice,72,76,zinc,,"Biofortification of staple food crops is a promising strategy to combat zinc deficiency, and it is of particular interest for rice and crops that are not consumed as flours and therefore not suitable for postharvest fortification.",butter|foodb_non_scientific,0,rice,4530.0,41976.0,Rice,Cereals and cereal products,Cereals,FOOD00125
18,6885,912,916,rice,826,837,Bisphenol-A,,"Bisphenol-A was not detected in raw beef, chicken, cheese, apple, tomatoes, beans and rice; and chicken eggs.",butter|foodb_non_scientific,0,rice,4530.0,41976.0,Rice,Cereals and cereal products,Cereals,FOOD00125
19,7000,908,912,rice,884,886,Zn,,"Results showed that greenhouse vegetable fields contained significant accumulations of Zn in CGVPS relative to rice-wheat rotation fields, open vegetable fields, and geochemical background levels, and this was the case for organic matter in OGVPS.",butter|foodb_non_scientific,0,rice,4530.0,41976.0,Rice,Cereals and cereal products,Cereals,FOOD00125
20,7062,26,30,rice,0,7,Cadmium,,Cadmium (Cd) contaminated rice has become a global food security issue.,butter|foodb_non_scientific,0,rice,4530.0,41976.0,Rice,Cereals and cereal products,Cereals,FOOD00125
21,7258,95,99,rice,49,57,Selenium,,"Selenium (Se) can mitigate Cd accumulation in rice plants, although it is unclear why it has such effect.",butter|foodb_non_scientific,0,rice,4530.0,41976.0,Rice,Cereals and cereal products,Cereals,FOOD00125
22,7471,170,174,rice,187,213,epigallocatechin-3-gallate,,"However, there is relatively little understanding about the interaction between rice protein and epigallocatechin-3-gallate (EGCG).",butter|foodb_non_scientific,0,rice,4530.0,41976.0,Rice,Cereals and cereal products,Cereals,FOOD00125
23,371,130,134,rice,0,27,ω-Hydroxyundec-9-enoic acid,,"ω-Hydroxyundec-9-enoic acid (ω-HUA), a hydroxyl unsaturated fatty acid derivative, is involved in the antifungal activity of wild rice (Oryza officinalis).",butter|foodb_non_scientific,0,rice,4530.0,41976.0,Rice,Cereals and cereal products,Cereals,FOOD00125
24,266,148,152,rice,244,246,Se,,Rice is a staple food for over half of the world's population that is a major dietary source of Se.,butter|foodb_non_scientific,1,rice,4530.0,41976.0,Rice,Cereals and cereal products,Cereals,FOOD00125
25,280,857,861,rice,757,764,arsenic,CIDs05359596,"Both arsenic contaminated irrigation water and the soils were responsible for accumulation of arsenic in rice straw, husk, and grain.",butter|foodb_non_scientific,0,rice,4530.0,41976.0,Rice,Cereals and cereal products,Cereals,FOOD00125
26,738,31,35,rice,95,108,methylmercury,CIDs00006859;CIDs00007905,"Recent studies have shown that rice consumption is another critical route of human exposure to methylmercury (MeHg), the most toxic and accumulative form of mercury (Hg) in the food web.",butter|foodb_non_scientific,0,rice,4530.0,41976.0,Rice,Cereals and cereal products,Cereals,FOOD00125
27,245,129,133,rice,0,7,Arsenic,CIDs05359596,Arsenic intake in the world is linked with drinking water and food; the main sources of inorganic As (i-As) exposure in food are rice and rice-based products.,butter|foodb_non_scientific,0,rice,4530.0,41976.0,Rice,Cereals and cereal products,Cereals,FOOD00125
28,853,7,12,water,46,68,perfluorooctyl bromide,CIDs00009873,Oil-in-water emulsions containing perflubron (perfluorooctyl bromide; PFOB) and stabilized with egg yolk phospholipid (EYP) have potential applications as contrast agents and oxygen carriers.,butter|foodb_non_scientific,0,water,,,Water,Beverages,Waters,FOOD00664
29,987,147,152,water,4,14,s-triazine,CIDs00009262,"The s-triazine herbicides, such as prometryn, have been widely used in agriculture and have raised much public concern over their contamination of water and soil.",butter|foodb_non_scientific,0,water,,,Water,Beverages,Waters,FOOD00664
30,383,438,443,water,412,415,PLA,,"However, PLA degradation generates water-soluble products, including lactic acid, that decrease the pH of soil or compost.",butter|foodb_non_scientific,0,water,,,Water,Beverages,Waters,FOOD00664
31,821,471,476,water,404,412,hydroxyl,,Presence of large number of hydroxyl groups increases its H- bonding ability when dissolved in water that enhance the viscosity and gelling properties of the guar gum solution.,butter|foodb_non_scientific,0,water,,,Water,Beverages,Waters,FOOD00664
32,350,52,57,water,63,70,arsenic,CIDs05359596,The population of Ferrette has been exposed to well-water with arsenic (As) levels higher than legal threshold.,butter|foodb_non_scientific,0,water,,,Water,Beverages,Waters,FOOD00664
33,64,95,100,water,0,25,Polychlorinated biphenyls,,"Polychlorinated biphenyls (PCBs) have been detected as prevalent environmental contaminants in water, food and biota.",butter|foodb_non_scientific,0,water,,,Water,Beverages,Waters,FOOD00664
34,897,253,259,pectin,231,243,carbohydrate,,"Fat encapsulation with a nondigestible carbohydrate, such as pectin, may offer a promising alternative to reduce fat intake from a meat product, by preventing its digestion and absorption.",butter|foodb_non_scientific,0,pectin,,,Pectin,Baking goods,Baking goods,FOOD00733
35,6572,727,733,pectin,634,640,sugars,,"Beside simple sugars, other carbohydrates reported in tobacco are oligosaccharides, cellulose, starch, and pectin.",butter|foodb_non_scientific,0,pectin,,,Pectin,Baking goods,Baking goods,FOOD00733
36,409,0,6,pectin,41,58,galacturonic acid,CIDs00441476;CIDs00084740;CIDs10176506,"Pectin, a complex polysaccharide rich in galacturonic acid, has been identified as a critical structural component of plant cell walls.",butter|foodb_non_scientific,1,pectin,,,Pectin,Baking goods,Baking goods,FOOD00733
37,922,748,755,mustard,676,682,sulfur,CIDs00000402,"While, sulfur-containing and volatile pungent principles, allylisothiocyanate (mustard, etc.) and diallyldisulfide (garlic, etc.), did not even cause slight catecholamine secretion.",butter|foodb_non_scientific,0,mustard,,,Mustard_(condiment),Baking goods,Condiments,FOOD00654
38,4768,467,474,mustard,417,426,aluminium,,"The richest natural sources of aluminium are tea leaves, Chinese prickly ash and mustard.",butter|foodb_non_scientific,1,mustard,,,Mustard_(condiment),Baking goods,Condiments,FOOD00654
39,949,179,186,catfish,65,70,ether,CIDs00003283,"Crushed unripe walnut hulls (Juglans nigra), when extracted with ether, yield an extract which sedates or at least depresses the movements of Daphnia magna, leopard frogs, perch, catfish, goldfish, mice, rats, and rabbits.",butter|foodb_non_scientific,0,catfish,7995.0,163992.0,Catfish,Aquatic foods,Fishes,FOOD00605
40,965,12,22,white wine,26,32,oxygen,CIDs00000977,"Exposure of white wine to oxygen can cause detrimental effects, such as loss of sensorial characteristics.",butter|foodb_non_scientific,0,white wine,,,,Beverages,Fermented beverages,FOOD00917
41,1126,149,159,white wine,113,123,polyphenol,,"The use of fining agents to reduce the polyphenol content is essential for white wine, but their impact on volatile compounds must be considered.",butter|foodb_non_scientific,1,white wine,,,,Beverages,Fermented beverages,FOOD00917
42,975,0,6,papaya,94,102,ethylene,,Papaya (Carica papaya L.) is a climacteric fruit susceptible to postharvest losses due to the ethylene-induced ripening.,butter|foodb_non_scientific,0,papaya,3649.0,22324.0,Papaya,Fruits,Tropical fruits,FOOD00041
43,998,76,82,butter,0,20,Bisdemethoxycurcumin,CIDs05315472;CIDs00147439,"Bisdemethoxycurcumin (BDCur) has been found widely in foods such as cheese, butter, etc., and in curry (powder) as a spice.",butter|foodb_non_scientific,1,butter,,,Butter,Milk and milk products,Other milk products,FOOD00648
44,6562,67,73,butter,24,35,polyphenols,,"In Southwest China, tea polyphenols are usually utilized by way of butter tea.",butter|foodb_non_scientific,0,butter,,,Butter,Milk and milk products,Other milk products,FOOD00648
45,7424,0,6,butter,18,54,saturated fat [saturated fatty acids (sfas)],,"Butter is rich in saturated fat [saturated fatty acids (SFAs)] and can increase plasma low density lipoprotein (LDL) cholesterol, which is a major risk factor for cardiovascular disease.",butter|foodb_non_scientific,1,butter,,,Butter,Milk and milk products,Other milk products,FOOD00648
46,1018,1149,1154,pasta,1199,1211,carbohydrate,,"Risks were positively associated with increased intake of breads/cereals/rice/pasta and other refined grains, as well as a high carbohydrate index.",butter|foodb_non_scientific,0,pasta,,,Pasta,Cereals and cereal products,Cereal products,FOOD00273
47,1094,76,82,fruits,0,11,Lactic acid,CIDs00000612,Lactic acid bacteria fermentation is an important processing technology for fruits and vegetables.,butter|foodb_non_scientific,0,fruits,,,Fruits,Fruits,Fruits,FOOD00871
48,4538,129,135,fruits,177,188,long chain fatty acids,,"The fruits provide an oily pulp, rich in long chain fatty acids, and a kernel that encompass more than 50% of lipids rich in medium chain fatty acids (MCFA).",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
49,6601,27,33,fruits,65,79,(poly)phenolic,,"Cardiovascular benefits of fruits are attributed mainly to their (poly)phenolic constituents, especially anthocyanins.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
50,6906,117,123,fruits,0,10,Folic acid,,"Folic acid (pteroylmonoglutamic acid) is used in enriched foods; however, very little folic acid occurs naturally in fruits and vegetables.",butter|foodb_non_scientific,0,fruits,,,Fruits,Fruits,Fruits,FOOD00871
51,6914,374,380,fruits,345,354,carnitine,,"A diet rich in meat supplies a lot of carnitine, while vegetables, fruits, and grains furnish relatively little.",butter|foodb_non_scientific,0,fruits,,,Fruits,Fruits,Fruits,FOOD00871
