,index,food_start,food_end,food_text,chemical_start,chemical_end,chemical_text,chemical_id,sentence,supported_by,contains_relation,name,ncbi_taxonomy_id,itis_id,wikipedia_id,food_group,food_subgroup,foodb_public_id
0,167,113.0,118.0,apple,123.0,128.0,sugar,,"Pectin is heteropolysaccharide found in cell walls originating mainly from by-products, as well as citrus peels, apple and sugar beet pulp, and presenting biological and techno-functional properties.",butter|foodb_non_scientific,1,apple,283210.0,25262.0,Apple,Fruits,Pomes,FOOD00105
1,604,0.0,5.0,apple,82.0,94.0,poly phenols,CIDs00065064,Apple pomace is a valuable waste from the apple juice industry with high level of poly phenols and also phytate-free dietary fiber.,butter|foodb_non_scientific,1,apple,283210.0,25262.0,Apple,Fruits,Pomes,FOOD00105
2,605,0.0,5.0,apple,104.0,111.0,phytate,CIDs00000890,Apple pomace is a valuable waste from the apple juice industry with high level of poly phenols and also phytate-free dietary fiber.,butter|foodb_non_scientific,1,apple,283210.0,25262.0,Apple,Fruits,Pomes,FOOD00105
3,1121,721.0,726.0,apple,641.0,643.0,Fe,CIDs00023925,"The fruit is a good source of Fe and Mn, and their concentrations are considerably higher than those found in apple, apricot, peach, pear, and orange.",butter|foodb_non_scientific,1,apple,283210.0,25262.0,Apple,Fruits,Pomes,FOOD00105
4,1122,721.0,726.0,apple,648.0,650.0,Mn,,"The fruit is a good source of Fe and Mn, and their concentrations are considerably higher than those found in apple, apricot, peach, pear, and orange.",butter|foodb_non_scientific,1,apple,283210.0,25262.0,Apple,Fruits,Pomes,FOOD00105
5,3808,154.0,159.0,apple,0.0,9.0,Etoposide,CIDs00036462,"Etoposide (VP 16) is a semi-synthetic derivative of 4'- demethylepipodophyllotoxin , a naturally occurring compound synthesized by the North American May apple (Podophyllum peltatum ) and the Indian species Podophyllum emodi Wallich .",butter|foodb_non_scientific,1,apple,283210.0,25262.0,Apple,Fruits,Pomes,FOOD00105
6,3809,154.0,159.0,apple,11.0,16.0,VP 16,,"Etoposide (VP 16) is a semi-synthetic derivative of 4'- demethylepipodophyllotoxin , a naturally occurring compound synthesized by the North American May apple (Podophyllum peltatum ) and the Indian species Podophyllum emodi Wallich .",butter|foodb_non_scientific,1,apple,283210.0,25262.0,Apple,Fruits,Pomes,FOOD00105
7,3810,154.0,159.0,apple,52.0,82.0,4'- demethylepipodophyllotoxin,CIDs00122797,"Etoposide (VP 16) is a semi-synthetic derivative of 4'- demethylepipodophyllotoxin , a naturally occurring compound synthesized by the North American May apple (Podophyllum peltatum ) and the Indian species Podophyllum emodi Wallich .",butter|foodb_non_scientific,1,apple,283210.0,25262.0,Apple,Fruits,Pomes,FOOD00105
8,2010,990.0,995.0,apple,921.0,944.0,oxidized β-cyclodextrin,,"Moreover, oxidized β-cyclodextrin could effectively extend the storage time of apple.",butter|foodb_non_scientific,0,apple,283210.0,25262.0,Apple,Fruits,Pomes,FOOD00105
9,3275,1029.0,1034.0,apple,872.0,882.0,GalA(3)Xyl,,"The predominant production of GalA(3)Xyl, as well as the release of linear GalA oligosaccharides pointed to a lower degree of xylose substitution in XGA from A. thaliana than in XGA from apple and potato.",butter|foodb_non_scientific,0,apple,283210.0,25262.0,Apple,Fruits,Pomes,FOOD00105
10,3276,1029.0,1034.0,apple,917.0,921.0,GalA,,"The predominant production of GalA(3)Xyl, as well as the release of linear GalA oligosaccharides pointed to a lower degree of xylose substitution in XGA from A. thaliana than in XGA from apple and potato.",butter|foodb_non_scientific,0,apple,283210.0,25262.0,Apple,Fruits,Pomes,FOOD00105
11,3277,1029.0,1034.0,apple,968.0,974.0,xylose,,"The predominant production of GalA(3)Xyl, as well as the release of linear GalA oligosaccharides pointed to a lower degree of xylose substitution in XGA from A. thaliana than in XGA from apple and potato.",butter|foodb_non_scientific,0,apple,283210.0,25262.0,Apple,Fruits,Pomes,FOOD00105
12,10575,420.0,425.0,apple,408.0,413.0,sugar,,"Controlled hydrolysis of pectin containing agricultural by-products like sugar beet, apple, olive and citrus by chemical, enzymatic and hydrothermal can be used to produce oligo-galacturonides (GalpOS), galacto-oligosaccharides (GalOS), rhamnogalacturonan-oligosaccharides (RGOS), etc.",butter|foodb_non_scientific,0,apple,283210.0,25262.0,Apple,Fruits,Pomes,FOOD00105
13,11971,618.0,623.0,apple,580.0,585.0,TVFAs,,"The substrates used for TVFAs production consisted of papaya, apple and banana.",butter|foodb_non_scientific,0,apple,283210.0,25262.0,Apple,Fruits,Pomes,FOOD00105
14,223,52.0,58.0,fruits,0.0,10.0,Quercitrin,CIDs05280459,"Quercitrin is found in many kinds of vegetables and fruits, and possesses various bioactive properties.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
15,486,245.0,251.0,fruits,25.0,38.0,nor-dammarane,,"A previously undescribed nor-dammarane, 3β,20,23-trihydroxy-24,25,26,27-tetranordammarane; three previously undescribed secoiridoid glycosides, ligujaponosides A-B, and iso-oleonuzhenide; and twenty three known compounds, were isolated from the fruits of Ligustrum japonicum Thunb.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
16,487,245.0,251.0,fruits,40.0,90.0,"3β,20,23-trihydroxy-24,25,26,27-tetranordammarane;",,"A previously undescribed nor-dammarane, 3β,20,23-trihydroxy-24,25,26,27-tetranordammarane; three previously undescribed secoiridoid glycosides, ligujaponosides A-B, and iso-oleonuzhenide; and twenty three known compounds, were isolated from the fruits of Ligustrum japonicum Thunb.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
17,488,245.0,251.0,fruits,120.0,142.0,secoiridoid glycosides,,"A previously undescribed nor-dammarane, 3β,20,23-trihydroxy-24,25,26,27-tetranordammarane; three previously undescribed secoiridoid glycosides, ligujaponosides A-B, and iso-oleonuzhenide; and twenty three known compounds, were isolated from the fruits of Ligustrum japonicum Thunb.",butter|foodb_non_scientific,1,fruits,,,Fruits,Fruits,Fruits,FOOD00871
